,ClientName,empty,numbers,short_number,Total
0,Raza Telecom,41951.0,,199.0,42150
1,Belgacom,8959.0,10.0,3.0,8972
2,Peerless Network CUSTOMER,7145.0,,1.0,7146
3,Ariatel,762.0,1423.0,,2185
4,Flow Jamaica Columbus Networks,202.0,1866.0,26.0,2094
5,Twilio,74.0,1779.0,3.0,1856
6,Etelix Net,1216.0,1.0,,1217
7,AT&T Corp,1159.0,20.0,1.0,1180
8,Etisalat,,760.0,59.0,819
9,Tata Communications Inc.,624.0,10.0,2.0,636
10,Liberty Communications of Puerto Rico,100.0,471.0,14.0,585
11,Cable Bahamas,475.0,8.0,,483
12,Deutsche Telecom,429.0,,,429
13,GmTelecom LLA,348.0,,,348
14,Orange FRANCE,279.0,21.0,2.0,302
15,Digicel,265.0,1.0,,266
16,Tata Communications Inc LLA,225.0,2.0,,227
17,Ipbtel,198.0,,,198
18,Last Mile Corp,173.0,2.0,,175
19,PCCW Global UK Limited ,154.0,3.0,,157
20,Ibasis Global Inc,151.0,,5.0,156
21,T-Mobile,125.0,27.0,,152
22,Impact Telecom,144.0,,1.0,145
23,IDT LLA,136.0,,1.0,137
24,Lanck Telecom,,126.0,,126
25,BTS,114.0,6.0,,120
26,BTS LLA,119.0,,,119
27,Latinatel,109.0,,,109
28,ASIAAT,35.0,,64.0,99
29,Ld Telecom Nexogy,72.0,,,72
30,ODD Holding Ltd,68.0,,,68
31,Verizon,60.0,4.0,,64
32,Dial Tel PTE. LTD PREM,62.0,,,62
33,ADC s.r.l.,57.0,,,57
34,Sinch,57.0,,,57
35,AIRTEL Silver Trunk,57.0,,,57
36,Bezeq International,56.0,,,56
37,Nobel Globe,55.0,,,55
38,TIWS,48.0,1.0,,49
39,Flow Jamaica Columbus Networks DID,41.0,,,41
40,PLDT,41.0,,,41
41,RSCom,40.0,,,40
42,Orbitel - UNE,33.0,,,33
43,Qxtel Limited LLA,15.0,15.0,,30
44,Zoomtel Platinum,25.0,,4.0,29
45,Orange Telecom,28.0,,,28
46,Latino Communications,25.0,3.0,,28
47,Telmex USA,27.0,1.0,,28
48,Identidad Promo JM CLIENTE,24.0,,1.0,25
49,NGN Sweden Communications AB (DBA Datora),25.0,,,25
50,A - Z Identidad Telecom,,19.0,4.0,23
51,Telin Neutrafix,20.0,3.0,,23
52,Look International Inc (Sinpin),22.0,,,22
53,Zoomtel LLC Gold,10.0,,11.0,21
54,IPBtel DID (C3NTRO) Customer,15.0,,,15
55,Identidad Promo JM HT CLIENTE,7.0,3.0,3.0,13
56,Graycom Special,7.0,3.0,3.0,13
57,Sipstatus Corporation,12.0,,,12
58,Quickom Telecom,12.0,,,12
59,Turk Telekom International,10.0,2.0,,12
60,Alcasagar,12.0,,,12
61,AMAZON DIDs CUSTOMER,12.0,,,12
62,TNZI,11.0,,,11
63,China Mobile International Ltd.,9.0,,,9
64,IDT,8.0,,1.0,9
65,GmTelecom,2.0,7.0,,9
66,ASCADE-ASSURE,9.0,,,9
67,Verge Communications,9.0,,,9
68,Trilogy Dominicana S.A.,9.0,,,9
69,Identidad Promo JM SG CLIENTE ,7.0,,,7
70,Cable Onda SA,7.0,,,7
71,Qxtel Limited,5.0,2.0,,7
72,CJC Global Connections Limited,7.0,,,7
73,Mada,7.0,,,7
74,Arelion U.S. Inc.,6.0,,,6
75,Apelby,5.0,,,5
76,VoxCarrier Limited,5.0,,,5
77,Oteglobe,1.0,,3.0,4
78,Netconnect,4.0,,,4
79,Voiptel Lp,3.0,,,3
80,382 Communications,3.0,,,3
81,TSTT,,3.0,,3
82,Vodafone Ltd,3.0,,,3
83,CommPeak,3.0,,,3
84,Cima Telecom,3.0,,,3
85,HGC Premium,3.0,,,3
86,TRIAR,3.0,,,3
87,Orange Romania,2.0,,,2
88,Last Mile Corp LLA,2.0,,,2
89,Us Matrix Telecommunications,1.0,,,1
90,VR Telecom S.L,,,1.0,1
91,Group of Goldline,1.0,,,1
92,China Mobile International,1.0,,,1
93,Computer Tel Inc,,,1.0,1
