,Unnamed: 0,Week,ClientName,empty,numbers,short_number,Total,source_file,alphanumeric,signs
0,31,2024-16,Etelix Net,23656.0,,,23656,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
1,17,2024-16,Belgacom,10800.0,3.0,1.0,10804,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
2,6,2024-16,AIRTEL Silver Trunk,4255.0,,,4255,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
3,33,2024-16,Flow Jamaica Columbus Networks,324.0,3402.0,52.0,3778,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
4,13,2024-16,Ariatel,1109.0,2006.0,10.0,3125,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
5,73,2024-16,Peerless Network CUSTOMER,2453.0,,6.0,2459,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
6,43,2024-16,Ibasis Global Inc,1735.0,,12.0,1747,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
7,49,2024-16,Impact Telecom,1566.0,,,1566,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
8,9,2024-16,AT&T Corp,1360.0,95.0,1.0,1456,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
9,28,2024-16,Deutsche Telecom,1127.0,,,1127,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
10,36,2024-16,GmTelecom,912.0,,40.0,952,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
11,89,2024-16,Telin Neutrafix,861.0,,,861,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
12,88,2024-16,Tata Communications Inc.,668.0,,,668,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
13,20,2024-16,Cable Bahamas,604.0,19.0,4.0,627,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
14,30,2024-16,Digicel,618.0,5.0,,623,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
15,29,2024-16,Dial Tel PTE. LTD PREM,569.0,,,569,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
16,10,2024-16,Alcasagar,520.0,1.0,,521,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
17,56,2024-16,Liberty Communications of Puerto Rico,82.0,284.0,49.0,415,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
18,40,2024-16,IDT,382.0,,1.0,383,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
19,37,2024-16,GmTelecom LLA,362.0,,,362,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
20,26,2024-16,Computer Tel Inc,310.0,,,310,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
21,87,2024-16,Tata Communications Inc LLA,280.0,3.0,,283,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
22,53,2024-16,Latinatel,251.0,,,251,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
23,65,2024-16,Orange FRANCE,202.0,3.0,,205,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
24,52,2024-16,Last Mile Corp,179.0,,,179,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
25,71,2024-16,PCCW Global UK Limited ,147.0,,1.0,148,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
26,4,2024-16,ADC s.r.l.,146.0,,,146,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
27,50,2024-16,Ipbtel,132.0,,,132,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
28,34,2024-16,Flow Jamaica Columbus Networks DID,124.0,,,124,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
29,97,2024-16,Verizon,106.0,16.0,,122,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
30,82,2024-16,T-Mobile,91.0,29.0,,120,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
31,75,2024-16,Qxtel Limited,99.0,,19.0,118,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
32,80,2024-16,Sinch,105.0,,1.0,106,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
33,64,2024-16,ODD Holding Ltd,99.0,,,99,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
34,41,2024-16,IDT LLA,95.0,,1.0,96,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
35,55,2024-16,Ld Telecom Nexogy,82.0,,,82,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
36,93,2024-16,Twilio,66.0,,15.0,81,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
37,69,2024-16,Orbitel - UNE,55.0,1.0,,56,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
38,67,2024-16,Orange Telecom,54.0,,,54,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
39,32,2024-16,Etisalat,6.0,30.0,12.0,48,Customer_by_SrcNumberRoute_pt2024-04-22 00:00:00to2024-04-22 00:00:00.xlsx,,
